period,time_order,team_abbrev,flag_type,player_name,description,flag_details
1,496.0,HOU,sub_in_player_already_in_lineup,Tari Eason,Attempted to sub in Tari Eason who is already in lineup,Attempted to sub in Tari Eason who is already in lineup
1,496.0,HOU,lineup_size_deviation,,SUB: Brooks FOR Eason,Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Cam Whitmore']; Last substitution: SUB: Brooks FOR Eason
1,496.0,HOU,sub_out_player_not_in_lineup,Steven Adams,Attempted to sub out Steven Adams who is not in lineup,Attempted to sub out Steven Adams who is not in lineup
1,496.0,HOU,sub_in_player_already_in_lineup,Alperen Sengun,Attempted to sub in Alperen Sengun who is already in lineup,Attempted to sub in Alperen Sengun who is already in lineup
1,496.0,HOU,lineup_size_deviation,,SUB: Adams FOR Sengun,Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Cam Whitmore']; Last substitution: SUB: Adams FOR Sengun
1,512.0,HOU,action_by_non_lineup_player,Cam Whitmore,Player Cam Whitmore had action but not in lineup: Whitmore S.FOUL (P1.T2) (B.Forte),Player Cam Whitmore had action but not in lineup: Whitmore S.FOUL (P1.T2) (B.Forte)
1,512.0,HOU,lineup_size_deviation,,Whitmore S.FOUL (P1.T2) (B.Forte),Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Cam Whitmore']; Last substitution: SUB: Adams FOR Sengun
1,512.0,HOU,lineup_size_deviation,,MISS Davis Free Throw 1 of 2,Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Cam Whitmore']; Last substitution: SUB: Adams FOR Sengun
1,512.0,HOU,lineup_size_deviation,,MAVERICKS Rebound,Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Cam Whitmore']; Last substitution: SUB: Adams FOR Sengun
1,512.0,HOU,lineup_size_deviation,,Davis Free Throw 2 of 2 (12 PTS),Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Cam Whitmore']; Last substitution: SUB: Adams FOR Sengun
1,535.0,HOU,lineup_size_deviation,,Ja. Green 10' Fadeaway Jumper (8 PTS),Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Cam Whitmore']; Last substitution: SUB: Adams FOR Sengun
1,554.0,HOU,lineup_size_deviation,,Davis 7' Turnaround Hook Shot (14 PTS),Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Cam Whitmore']; Last substitution: SUB: Adams FOR Sengun
1,565.0,HOU,lineup_size_deviation,,Thompson Lost Ball Turnover (P2.T3),Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Cam Whitmore']; Last substitution: SUB: Adams FOR Sengun
1,570.0,DAL,action_by_non_lineup_player,Max Christie,Player Max Christie had action but not in lineup: Christie 3PT Running Jump Shot (3 PTS) (Exum 2 AST),Player Max Christie had action but not in lineup: Christie 3PT Running Jump Shot (3 PTS) (Exum 2 AST)
1,570.0,HOU,lineup_size_deviation,,Christie 3PT Running Jump Shot (3 PTS) (Exum 2 AST),Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Cam Whitmore']; Last substitution: SUB: Adams FOR Sengun
1,571.0,HOU,lineup_size_deviation,,Rockets Timeout: Regular (Reg.2 Short 0),Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Cam Whitmore']; Last substitution: SUB: Adams FOR Sengun
1,571.0,HOU,sub_out_player_not_in_lineup,Jae'Sean Tate,Attempted to sub out Jae'Sean Tate who is not in lineup,Attempted to sub out Jae'Sean Tate who is not in lineup
1,571.0,HOU,sub_in_player_already_in_lineup,Amen Thompson,Attempted to sub in Amen Thompson who is already in lineup,Attempted to sub in Amen Thompson who is already in lineup
1,571.0,HOU,lineup_size_deviation,,SUB: Tate FOR Thompson,Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Cam Whitmore']; Last substitution: SUB: Tate FOR Thompson
1,588.0,HOU,action_by_non_lineup_player,Jae'Sean Tate,Player Jae'Sean Tate had action but not in lineup: MISS Tate 3PT Jump Shot,Player Jae'Sean Tate had action but not in lineup: MISS Tate 3PT Jump Shot
1,588.0,HOU,lineup_size_deviation,,MISS Tate 3PT Jump Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore']; Last substitution: SUB: Tate FOR Thompson"
1,590.0,HOU,lineup_size_deviation,,MAVERICKS Rebound,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore']; Last substitution: SUB: Tate FOR Thompson"
1,590.0,HOU,lineup_size_deviation,,,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore']; Last substitution: SUB: Tate FOR Thompson"
1,613.0,DAL,action_by_non_lineup_player,Dante Exum,Player Dante Exum had action but not in lineup: MISS Exum 6' Driving Finger Roll Layup,Player Dante Exum had action but not in lineup: MISS Exum 6' Driving Finger Roll Layup
1,613.0,HOU,lineup_size_deviation,,MISS Exum 6' Driving Finger Roll Layup,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore']; Last substitution: SUB: Tate FOR Thompson"
1,614.0,HOU,action_by_non_lineup_player,Jae'Sean Tate,Player Jae'Sean Tate had action but not in lineup: Tate REBOUND (Off:0 Def:1),Player Jae'Sean Tate had action but not in lineup: Tate REBOUND (Off:0 Def:1)
1,614.0,HOU,lineup_size_deviation,,Tate REBOUND (Off:0 Def:1),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore']; Last substitution: SUB: Tate FOR Thompson"
1,625.0,HOU,action_by_non_lineup_player,Dillon Brooks,Player Dillon Brooks had action but not in lineup: Brooks 28' 3PT Jump Shot (3 PTS) (Tate 1 AST),Player Dillon Brooks had action but not in lineup: Brooks 28' 3PT Jump Shot (3 PTS) (Tate 1 AST)
1,625.0,HOU,lineup_size_deviation,,Brooks 28' 3PT Jump Shot (3 PTS) (Tate 1 AST),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,650.0,HOU,lineup_size_deviation,,MISS Davis 20' Pullup Jump Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,651.0,HOU,action_by_non_lineup_player,Cam Whitmore,Player Cam Whitmore had action but not in lineup: Whitmore REBOUND (Off:0 Def:1),Player Cam Whitmore had action but not in lineup: Whitmore REBOUND (Off:0 Def:1)
1,651.0,HOU,lineup_size_deviation,,Whitmore REBOUND (Off:0 Def:1),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,659.0,HOU,action_by_non_lineup_player,Cam Whitmore,Player Cam Whitmore had action but not in lineup: MISS Whitmore 3' Driving Floating Jump Shot,Player Cam Whitmore had action but not in lineup: MISS Whitmore 3' Driving Floating Jump Shot
1,659.0,HOU,lineup_size_deviation,,MISS Whitmore 3' Driving Floating Jump Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,660.9,HOU,action_by_non_lineup_player,Steven Adams,Player Steven Adams had action but not in lineup: Adams REBOUND (Off:1 Def:0),Player Steven Adams had action but not in lineup: Adams REBOUND (Off:1 Def:0)
1,660.9,HOU,lineup_size_deviation,,Adams REBOUND (Off:1 Def:0),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,660.9,HOU,action_by_non_lineup_player,Steven Adams,Player Steven Adams had action but not in lineup: MISS Adams Tip Layup Shot,Player Steven Adams had action but not in lineup: MISS Adams Tip Layup Shot
1,660.9,HOU,lineup_size_deviation,,MISS Adams Tip Layup Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,661.7,HOU,lineup_size_deviation,,Davis REBOUND (Off:1 Def:7),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,666.1,DAL,action_by_non_lineup_player,Naji Marshall,Player Naji Marshall had action but not in lineup: MISS Marshall 8' Running Pull-Up Jump Shot,Player Naji Marshall had action but not in lineup: MISS Marshall 8' Running Pull-Up Jump Shot
1,666.1,HOU,lineup_size_deviation,,MISS Marshall 8' Running Pull-Up Jump Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,667.6,HOU,action_by_non_lineup_player,Steven Adams,Player Steven Adams had action but not in lineup: Adams REBOUND (Off:1 Def:1),Player Steven Adams had action but not in lineup: Adams REBOUND (Off:1 Def:1)
1,667.6,HOU,lineup_size_deviation,,Adams REBOUND (Off:1 Def:1),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,675.3,HOU,action_by_non_lineup_player,Steven Adams,Player Steven Adams had action but not in lineup: MISS Adams 11' Floating Jump Shot,Player Steven Adams had action but not in lineup: MISS Adams 11' Floating Jump Shot
1,675.3,HOU,lineup_size_deviation,,MISS Adams 11' Floating Jump Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,678.4,DAL,action_by_non_lineup_player,Naji Marshall,Player Naji Marshall had action but not in lineup: Marshall REBOUND (Off:0 Def:1),Player Naji Marshall had action but not in lineup: Marshall REBOUND (Off:0 Def:1)
1,678.4,HOU,lineup_size_deviation,,Marshall REBOUND (Off:0 Def:1),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,683.2,HOU,action_by_non_lineup_player,Dillon Brooks,Player Dillon Brooks had action but not in lineup: Brooks S.FOUL (P1.T3) (P.Ransom),Player Dillon Brooks had action but not in lineup: Brooks S.FOUL (P1.T3) (P.Ransom)
1,683.2,HOU,lineup_size_deviation,,Brooks S.FOUL (P1.T3) (P.Ransom),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,683.2,HOU,lineup_size_deviation,,Christie Free Throw 1 of 2 (4 PTS),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,683.2,DAL,sub_in_player_already_in_lineup,Anthony Davis,Attempted to sub in Anthony Davis who is already in lineup,Attempted to sub in Anthony Davis who is already in lineup
1,683.2,DAL,lineup_size_deviation,,SUB: Gafford FOR Davis,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Spencer Dinwiddie', 'Max Christie', 'Dante Exum', 'Naji Marshall']; Last substitution: SUB: Gafford FOR Davis"
1,683.2,HOU,lineup_size_deviation,,SUB: Gafford FOR Davis,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,683.2,DAL,lineup_size_deviation,,SUB: Irving FOR Dinwiddie,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall']; Last substitution: SUB: Irving FOR Dinwiddie"
1,683.2,HOU,lineup_size_deviation,,SUB: Irving FOR Dinwiddie,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,683.2,DAL,lineup_size_deviation,,Christie Free Throw 2 of 2 (5 PTS),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall']; Last substitution: SUB: Irving FOR Dinwiddie"
1,683.2,HOU,lineup_size_deviation,,Christie Free Throw 2 of 2 (5 PTS),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,701.7,HOU,action_by_non_lineup_player,Dillon Brooks,Player Dillon Brooks had action but not in lineup: MISS Brooks 18' Step Back Jump Shot,Player Dillon Brooks had action but not in lineup: MISS Brooks 18' Step Back Jump Shot
1,701.7,DAL,lineup_size_deviation,,MISS Brooks 18' Step Back Jump Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall']; Last substitution: SUB: Irving FOR Dinwiddie"
1,701.7,HOU,lineup_size_deviation,,MISS Brooks 18' Step Back Jump Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,704.2,DAL,action_by_non_lineup_player,Dante Exum,Player Dante Exum had action but not in lineup: Exum REBOUND (Off:0 Def:1),Player Dante Exum had action but not in lineup: Exum REBOUND (Off:0 Def:1)
1,704.2,DAL,lineup_size_deviation,,Exum REBOUND (Off:0 Def:1),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall']; Last substitution: SUB: Irving FOR Dinwiddie"
1,704.2,HOU,lineup_size_deviation,,Exum REBOUND (Off:0 Def:1),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,719.6,DAL,action_by_non_lineup_player,Kyrie Irving,Player Kyrie Irving had action but not in lineup: MISS Irving 13' Step Back Jump Shot,Player Kyrie Irving had action but not in lineup: MISS Irving 13' Step Back Jump Shot
1,719.6,DAL,lineup_size_deviation,,MISS Irving 13' Step Back Jump Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
1,719.6,HOU,lineup_size_deviation,,MISS Irving 13' Step Back Jump Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,719.6,DAL,lineup_size_deviation,,MAVERICKS Rebound,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
1,719.6,HOU,lineup_size_deviation,,MAVERICKS Rebound,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
1,720.0,DAL,lineup_size_deviation,,End of 1st Period (3:36 PM EST),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
1,720.0,HOU,lineup_size_deviation,,End of 1st Period (3:36 PM EST),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
2,720.0,DAL,lineup_size_deviation,,Start of 2nd Period (3:39 PM EST),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
2,720.0,HOU,lineup_size_deviation,,Start of 2nd Period (3:39 PM EST),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
2,730.0,DAL,action_by_non_lineup_player,Max Christie,Player Max Christie had action but not in lineup: Christie S.FOUL (P1.T1) (P.Ransom),Player Max Christie had action but not in lineup: Christie S.FOUL (P1.T1) (P.Ransom)
2,730.0,DAL,lineup_size_deviation,,Christie S.FOUL (P1.T1) (P.Ransom),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
2,730.0,HOU,lineup_size_deviation,,Christie S.FOUL (P1.T1) (P.Ransom),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
2,730.0,DAL,lineup_size_deviation,,Whitmore Free Throw 1 of 3 (3 PTS),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
2,730.0,HOU,lineup_size_deviation,,Whitmore Free Throw 1 of 3 (3 PTS),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
2,730.0,DAL,lineup_size_deviation,,Whitmore Free Throw 2 of 3 (4 PTS),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
2,730.0,HOU,lineup_size_deviation,,Whitmore Free Throw 2 of 3 (4 PTS),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
2,730.0,DAL,lineup_size_deviation,,Whitmore Free Throw 3 of 3 (5 PTS),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
2,730.0,HOU,lineup_size_deviation,,Whitmore Free Throw 3 of 3 (5 PTS),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
2,747.0,DAL,lineup_size_deviation,,Thompson 2' Driving Finger Roll Layup (6 PTS) (Christie 1 AST),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
2,747.0,HOU,lineup_size_deviation,,Thompson 2' Driving Finger Roll Layup (6 PTS) (Christie 1 AST),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
2,767.0,HOU,action_by_non_lineup_player,Steven Adams,Player Steven Adams had action but not in lineup: MISS Adams 6' Driving Hook Shot,Player Steven Adams had action but not in lineup: MISS Adams 6' Driving Hook Shot
2,767.0,DAL,lineup_size_deviation,,MISS Adams 6' Driving Hook Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
2,767.0,HOU,lineup_size_deviation,,MISS Adams 6' Driving Hook Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
2,768.0,HOU,action_by_non_lineup_player,Steven Adams,Player Steven Adams had action but not in lineup: Adams REBOUND (Off:2 Def:1),Player Steven Adams had action but not in lineup: Adams REBOUND (Off:2 Def:1)
2,768.0,DAL,lineup_size_deviation,,Adams REBOUND (Off:2 Def:1),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
2,768.0,HOU,lineup_size_deviation,,Adams REBOUND (Off:2 Def:1),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
2,777.0,DAL,lineup_size_deviation,,MISS Eason 5' Driving Floating Jump Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
2,777.0,HOU,lineup_size_deviation,,MISS Eason 5' Driving Floating Jump Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: [""Jae'Sean Tate"", 'Cam Whitmore', 'Steven Adams', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
2,779.0,HOU,action_by_non_lineup_player,Reed Sheppard,Player Reed Sheppard had action but not in lineup: Sheppard REBOUND (Off:1 Def:0),Player Reed Sheppard had action but not in lineup: Sheppard REBOUND (Off:1 Def:0)
2,779.0,DAL,lineup_size_deviation,,Sheppard REBOUND (Off:1 Def:0),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
2,779.0,HOU,lineup_size_deviation,,Sheppard REBOUND (Off:1 Def:0),"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Steven Adams', ""Jae'Sean Tate"", 'Cam Whitmore', 'Reed Sheppard', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
2,781.0,HOU,action_by_non_lineup_player,Reed Sheppard,Player Reed Sheppard had action but not in lineup: MISS Sheppard 7' Driving Floating Jump Shot,Player Reed Sheppard had action but not in lineup: MISS Sheppard 7' Driving Floating Jump Shot
2,781.0,DAL,lineup_size_deviation,,MISS Sheppard 7' Driving Floating Jump Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Max Christie', 'Dante Exum', 'Naji Marshall', 'Kyrie Irving']; Last substitution: SUB: Irving FOR Dinwiddie"
2,781.0,HOU,lineup_size_deviation,,MISS Sheppard 7' Driving Floating Jump Shot,"Lineup size 4/5. Missing 1 player(s) for full lineup; Players with actions but no sub-in: ['Steven Adams', ""Jae'Sean Tate"", 'Cam Whitmore', 'Reed Sheppard', 'Dillon Brooks']; Last substitution: SUB: Tate FOR Thompson"
